id_votacao,id_dep,nome,uf,partido,voto
345311-270,220699,Castro Neto,PI,PSD,Não
345311-270,178927,Aliel Machado,PR,PV,Não
345311-270,204464,Talíria Petrone,RJ,PSOL,Não
345311-270,74270,Gilberto Nascimento,SP,PSD,Sim
345311-270,220537,Helena Lima,RR,MDB,Não
345311-270,178887,Rubens Pereira Júnior,MA,PT,Não
345311-270,104552,Socorro Neri,AC,PP,Não
345311-270,178854,Elmar Nascimento,BA,UNIÃO,Sim
345311-270,220613,Roberto Monteiro Pai,RJ,PL,Sim
345311-270,220634,Marcelo Lima,SP,PSB,Sim
345311-270,160161,Marcelo Queiroz,RJ,PP,Não
345311-270,98057,Lafayette de Andrada,MG,REPUBLICANOS,Sim
345311-270,220602,Dimas Gadelha,RJ,PT,Não
345311-270,160527,Aguinaldo Ribeiro,PB,PP,Sim
345311-270,74171,Chico Alencar,RJ,PSOL,Não
345311-270,178993,Carlos Henrique Gaguim,TO,UNIÃO,Sim
345311-270,220606,Reimont,RJ,PT,Não
345311-270,220702,Geraldo Mendes,PR,UNIÃO,Sim
345311-270,74161,Reginaldo Lopes,MG,PT,Não
345311-270,220622,Nely Aquino,MG,PODE,Sim
345311-270,74696,Alberto Mourão,SP,MDB,Sim
345311-270,204441,Otoni de Paula,RJ,MDB,Sim
345311-270,220641,Rodrigo Gambale,SP,PODE,Não
345311-270,74273,Jefferson Campos,SP,PL,Sim
345311-270,141464,José Airton Félix Cirilo,CE,PT,Não
345311-270,141458,João Carlos Bacelar,BA,PL,Sim
345311-270,73531,Ivan Valente,SP,PSOL,Não
345311-270,178943,Marcos Soares,RJ,UNIÃO,Sim
345311-270,74299,Leônidas Cristino,CE,PDT,Não
345311-270,220658,Luiz Gastão,CE,PSD,Sim
345311-270,220630,Pedro Aihara,MG,PATRIOTA,Não
345311-270,123756,Antônia Lúcia,AC,REPUBLICANOS,Sim
345311-270,220585,Mersinho Lucena,PB,PP,Sim
345311-270,141408,Cleber Verde,MA,REPUBLICANOS,Sim
345311-270,225727,Flavinha,MT,MDB,Sim
345311-270,220609,Maurício Carvalho,RO,UNIÃO,Sim
345311-270,204457,Juninho do Pneu,RJ,UNIÃO,Sim
345311-270,204511,David Soares,SP,UNIÃO,Sim
345311-270,204573,Otto Alencar Filho,BA,PSD,Sim
345311-270,160545,Alexandre Leite,SP,UNIÃO,Sim
345311-270,204460,Carlos Jordy,RJ,PL,Sim
345311-270,220706,Padovani,PR,UNIÃO,Sim
345311-270,143942,Caio Vianna,RJ,PSD,Sim
345311-270,210989,Bruno Farias,MG,AVANTE,Sim
345311-270,220611,General Pazuello,RJ,PL,Sim
345311-270,223128,Rodrigo Estacho,PR,PSD,Sim
345311-270,220577,Augusto Puppio,AP,MDB,Não
345311-270,205550,Jorge Braz,RJ,REPUBLICANOS,Sim
345311-270,220593,Abilio Brunini,MT,PL,Sim
345311-270,160548,Jonas Donizette,SP,PSB,Não
345311-270,220549,Any Ortiz,RS,CIDADANIA,Sim
345311-270,157130,Túlio Gadêlha,PE,REDE,Não
345311-270,204550,Júnior Mano,CE,PL,Sim
345311-270,179001,Márcio Biolchi,RS,MDB,Sim
345311-270,220697,Jadyel Alencar,PI,PV,Não
345311-270,220644,Rosangela Moro,SP,UNIÃO,Sim
345311-270,74383,Giacobo,PR,PL,Sim
345311-270,204525,Rosana Valle,SP,PL,Sim
345311-270,178882,André Fufuca,MA,PP,Sim
345311-270,220590,Coronel Ulysses,AC,UNIÃO,Sim
345311-270,141431,Fernando Coelho Filho,PE,UNIÃO,Sim
345311-270,204388,Bibo Nunes,RS,PL,Sim
345311-270,160558,Paulo Freire Costa,SP,PL,Sim
345311-270,204553,Pastor Sargento Isidório,BA,AVANTE,Não
345311-270,224117,Gabriel Mota,RR,REPUBLICANOS,Sim
345311-270,178992,Vitor Lippi,SP,PSDB,Não
345311-270,220617,Murillo Gouvea,RJ,UNIÃO,Sim
345311-270,204482,Euclydes Pettersen,MG,REPUBLICANOS,Sim
345311-270,220571,Daniel Agrobom,GO,PL,Sim
345311-270,160635,Ruy Carneiro,PB,PSC,Sim
345311-270,220665,Clarissa Tércio,PE,PP,Sim
345311-270,220573,Dorinaldo Malafaia,AP,PDT,Não
345311-270,204408,Gustinho Ribeiro,SE,REPUBLICANOS,Sim
345311-270,220694,Ricardo Maia,BA,MDB,Não
345311-270,220531,Gilvan Maximo,DF,REPUBLICANOS,Sim
345311-270,220588,Roberto Duarte,AC,REPUBLICANOS,Sim
345311-270,220650,Paulo Alexandre Barbosa,SP,PSDB,Sim
345311-270,204394,Gervásio Maia,PB,PSB,Não
345311-270,178964,Heitor Schuch,RS,PSB,Sim
345311-270,160604,Pedro Uczai,SC,PT,Não
345311-270,220604,Marcos Tavares,RJ,PDT,Não
345311-270,98615,Ismael,SC,PSD,Sim
345311-270,180214,Pastor Diniz,RR,UNIÃO,Sim
345311-270,204566,Marreca Filho,MA,PATRIOTA,Sim
345311-270,178881,Aluisio Mendes,MA,REPUBLICANOS,Sim
345311-270,204364,Eli Borges,TO,PL,Sim
345311-270,220663,Eriberto Medeiros,PE,PSB,Não
345311-270,204378,Coronel Chrisóstomo,RO,PL,Sim
345311-270,220654,Delegado Paulo Bilynskyj,SP,PL,Sim
345311-270,171623,Fabio Reis,SE,PSD,Sim
345311-270,215043,Josivaldo JP,MA,PSD,Sim
345311-270,204518,Dr. Frederico,MG,PATRIOTA,Sim
345311-270,220703,Neto Carletto,BA,PP,Sim
345311-270,220646,Felipe Becari,SP,UNIÃO,Não
345311-270,141411,Dagoberto Nogueira,MS,PSDB,Não
345311-270,220565,Delegada Adriana Accorsi,GO,PT,Não
345311-270,220589,Eduardo Velloso,AC,UNIÃO,Sim
345311-270,160673,Giovani Cherini,RS,PL,Sim
345311-270,204533,Idilvan Alencar,CE,PDT,Não
345311-270,220551,Franciane Bayer,RS,REPUBLICANOS,Sim
345311-270,160510,Luis Tibé,MG,AVANTE,Não
345311-270,204368,Fabio Schiochet,SC,UNIÃO,Sim
345311-270,204476,Chiquinho Brazão,RJ,UNIÃO,Sim
345311-270,165470,Rodrigo Valadares,SE,UNIÃO,Sim
345311-270,220539,Defensor Stélio Dener,RR,REPUBLICANOS,Não
345311-270,204571,Alex Santana,BA,REPUBLICANOS,Sim
345311-270,220538,Albuquerque,RR,REPUBLICANOS,Sim
345311-270,220659,Dayany Bittencourt,CE,UNIÃO,Sim
345311-270,161550,Emidinho Madeira,MG,PL,Sim
345311-270,204557,Sidney Leite,AM,PSD,Não
345311-270,152605,Glauber Braga,RJ,PSOL,Não
345311-270,178987,Orlando Silva,SP,PCdoB,Não
345311-270,204485,Luiz Carlos Motta,SP,PL,Sim
345311-270,220591,Meire Serafim,AC,UNIÃO,Sim
345311-270,221328,Adilson Barroso,SP,PL,Sim
345311-270,204494,Fred Costa,MG,PATRIOTA,Não
345311-270,220675,Antônio Doido,PA,MDB,Sim
345311-270,220540,Duda Ramos,RR,MDB,Sim
345311-270,160674,Hugo Motta,PB,REPUBLICANOS,Sim
345311-270,220582,Daniel Barbosa,AL,PP,Não
345311-270,220608,Cristiane Lopes,RO,UNIÃO,Sim
345311-270,220629,Dandara,MG,PT,Não
345311-270,73701,Benedita da Silva,RJ,PT,Não
345311-270,220556,Ana Paula Lima,SC,PT,Não
345311-270,220570,Dr. Ismael Alexandrino,GO,PSD,Sim
345311-270,220677,Keniston Braga,PA,MDB,Não
345311-270,220545,Filipe Martins,TO,PL,Sim
345311-270,160517,Paulo Folletto,ES,PSB,Não
345311-270,204427,Fernando Rodolfo,PE,PL,Sim
345311-270,220580,Professora Goreth,AP,PDT,Não
345311-270,220592,Zezinho Barbary,AC,PP,Não
345311-270,220648,Marangoni,SP,UNIÃO,Sim
345311-270,178946,Soraya Santos,RJ,PL,Sim
345311-270,178983,Marcio Alvino,SP,PL,Sim
345311-270,204496,Celso Sabino,PA,UNIÃO,Sim
345311-270,220603,Dani Cunha,RJ,UNIÃO,Sim
345311-270,220657,André Fernandes,CE,PL,Sim
345311-270,204528,Adriana Ventura,SP,NOVO,Sim
345311-270,220647,Mauricio Neves,SP,PP,Sim
345311-270,220651,Simone Marquetto,SP,MDB,Sim
345311-270,74079,José Priante,PA,MDB,Não
345311-270,220635,Bruno Ganem,SP,PODE,Não
345311-270,220670,Iza Arruda,PE,MDB,Não
345311-270,220715,Amom Mandel,AM,CIDADANIA,Não
345311-270,62881,Danilo Forte,CE,UNIÃO,Sim
345311-270,74428,Mendonça Filho,PE,UNIÃO,Sim
345311-270,204374,Bia Kicis,DF,PL,Sim
345311-270,204501,Alencar Santana,SP,PT,Não
345311-270,220598,Tarcísio Motta,RJ,PSOL,Não
345311-270,88256,Clodoaldo Magalhães,PE,PV,Não
345311-270,98148,Cobalchini,SC,MDB,Sim
345311-270,220620,Rosângela Reis,MG,PL,Sim
345311-270,89536,Prof. Paulo Fernando,DF,REPUBLICANOS,Sim
345311-270,204488,Célio Studart,CE,PSD,Não
345311-270,220626,Rafael Simoes,MG,UNIÃO,Sim
345311-270,92102,Leur Lomanto Júnior,BA,UNIÃO,Sim
345311-270,160642,Pastor Eurico,PE,PL,Sim
345311-270,178895,Misael Varella,MG,PSD,Sim
345311-270,178975,Baleia Rossi,SP,MDB,Sim
345311-270,204539,Hercílio Coelho Diniz,MG,MDB,Sim
345311-270,220616,Luciano Vieira,RJ,PL,Sim
345311-270,204444,Helio Lopes,RJ,PL,Sim
345311-270,220640,Juliana Cardoso,SP,PT,Não
345311-270,221339,Dr. Benjamim,MA,UNIÃO,Sim
345311-270,139285,Lídice da Mata,BA,PSB,Não
345311-270,220667,Pedro Campos,PE,PSB,Não
345311-270,74084,Raimundo Santos,PA,PSD,Sim
345311-270,204398,Felipe Francischini,PR,UNIÃO,Sim
345311-270,204560,Adolfo Viana,BA,PSDB,Sim
345311-270,220578,Josenildo,AP,PDT,Não
345311-270,220569,Silvye Alves,GO,UNIÃO,Sim
345311-270,160569,Waldenor Pereira,BA,PT,Não
345311-270,204473,General Girão,RN,PL,Sim
345311-270,204574,Junior Lourenço,MA,PL,Sim
345311-270,92776,Stefano Aguiar,MG,PSD,Abstenção
345311-270,220566,Lêda Borges,GO,PSDB,Sim
345311-270,220674,Dra. Alessandra Haber,PA,MDB,Sim
345311-270,178873,Helder Salomão,ES,PT,Não
345311-270,204390,Professor Alcides,GO,PL,Sim
345311-270,220705,Deltan Dallagnol,PR,PODE,Sim
345311-270,224333,Welter,PR,PT,Não
345311-270,73604,Rui Falcão,SP,PT,Não
345311-270,220625,Delegada Ione,MG,AVANTE,Sim
345311-270,204534,Tabata Amaral,SP,PSB,Não
345311-270,220527,Jack Rocha,ES,PT,Não
345311-270,178871,Evair Vieira de Melo,ES,PP,Sim
345311-270,220579,Silvia Waiãpi,AP,PL,Sim
345311-270,141456,Jilmar Tatto,SP,PT,Não
345311-270,74156,Leonardo Monteiro,MG,PT,Não
345311-270,204455,Luiz Lima,RJ,PL,Sim
345311-270,221338,Professora Luciene Cavalcante,SP,PSOL,Não
