id_votacao,nome,uf,partido,voto
345311-270,Castro Neto,PI,PSD,Não
345311-270,Aliel Machado,PR,PV,Não
345311-270,Talíria Petrone,RJ,PSOL,Não
345311-270,Gilberto Nascimento,SP,PSD,Sim
345311-270,Helena Lima,RR,MDB,Não
345311-270,Rubens Pereira Júnior,MA,PT,Não
345311-270,Socorro Neri,AC,PP,Não
345311-270,Elmar Nascimento,BA,UNIÃO,Sim
345311-270,Roberto Monteiro Pai,RJ,PL,Sim
345311-270,Marcelo Lima,SP,PSB,Sim
345311-270,Marcelo Queiroz,RJ,PP,Não
345311-270,Lafayette de Andrada,MG,REPUBLICANOS,Sim
345311-270,Dimas Gadelha,RJ,PT,Não
345311-270,Aguinaldo Ribeiro,PB,PP,Sim
345311-270,Chico Alencar,RJ,PSOL,Não
345311-270,Carlos Henrique Gaguim,TO,UNIÃO,Sim
345311-270,Reimont,RJ,PT,Não
345311-270,Geraldo Mendes,PR,UNIÃO,Sim
345311-270,Reginaldo Lopes,MG,PT,Não
345311-270,Nely Aquino,MG,PODE,Sim
345311-270,Alberto Mourão,SP,MDB,Sim
345311-270,Otoni de Paula,RJ,MDB,Sim
345311-270,Rodrigo Gambale,SP,PODE,Não
345311-270,Jefferson Campos,SP,PL,Sim
345311-270,José Airton Félix Cirilo,CE,PT,Não
345311-270,João Carlos Bacelar,BA,PL,Sim
345311-270,Ivan Valente,SP,PSOL,Não
345311-270,Marcos Soares,RJ,UNIÃO,Sim
345311-270,Leônidas Cristino,CE,PDT,Não
345311-270,Luiz Gastão,CE,PSD,Sim
345311-270,Pedro Aihara,MG,PATRIOTA,Não
345311-270,Antônia Lúcia,AC,REPUBLICANOS,Sim
345311-270,Mersinho Lucena,PB,PP,Sim
345311-270,Cleber Verde,MA,REPUBLICANOS,Sim
345311-270,Flavinha,MT,MDB,Sim
345311-270,Maurício Carvalho,RO,UNIÃO,Sim
345311-270,Juninho do Pneu,RJ,UNIÃO,Sim
345311-270,David Soares,SP,UNIÃO,Sim
345311-270,Otto Alencar Filho,BA,PSD,Sim
345311-270,Alexandre Leite,SP,UNIÃO,Sim
345311-270,Carlos Jordy,RJ,PL,Sim
345311-270,Padovani,PR,UNIÃO,Sim
345311-270,Caio Vianna,RJ,PSD,Sim
345311-270,Bruno Farias,MG,AVANTE,Sim
345311-270,General Pazuello,RJ,PL,Sim
345311-270,Rodrigo Estacho,PR,PSD,Sim
345311-270,Augusto Puppio,AP,MDB,Não
345311-270,Jorge Braz,RJ,REPUBLICANOS,Sim
345311-270,Abilio Brunini,MT,PL,Sim
345311-270,Jonas Donizette,SP,PSB,Não
345311-270,Any Ortiz,RS,CIDADANIA,Sim
345311-270,Túlio Gadêlha,PE,REDE,Não
345311-270,Júnior Mano,CE,PL,Sim
345311-270,Márcio Biolchi,RS,MDB,Sim
345311-270,Jadyel Alencar,PI,PV,Não
345311-270,Rosangela Moro,SP,UNIÃO,Sim
345311-270,Giacobo,PR,PL,Sim
345311-270,Rosana Valle,SP,PL,Sim
345311-270,André Fufuca,MA,PP,Sim
345311-270,Coronel Ulysses,AC,UNIÃO,Sim
345311-270,Fernando Coelho Filho,PE,UNIÃO,Sim
345311-270,Bibo Nunes,RS,PL,Sim
345311-270,Paulo Freire Costa,SP,PL,Sim
345311-270,Pastor Sargento Isidório,BA,AVANTE,Não
345311-270,Gabriel Mota,RR,REPUBLICANOS,Sim
345311-270,Vitor Lippi,SP,PSDB,Não
345311-270,Murillo Gouvea,RJ,UNIÃO,Sim
345311-270,Euclydes Pettersen,MG,REPUBLICANOS,Sim
345311-270,Daniel Agrobom,GO,PL,Sim
345311-270,Ruy Carneiro,PB,PSC,Sim
345311-270,Clarissa Tércio,PE,PP,Sim
345311-270,Dorinaldo Malafaia,AP,PDT,Não
345311-270,Gustinho Ribeiro,SE,REPUBLICANOS,Sim
345311-270,Ricardo Maia,BA,MDB,Não
345311-270,Gilvan Maximo,DF,REPUBLICANOS,Sim
345311-270,Roberto Duarte,AC,REPUBLICANOS,Sim
345311-270,Paulo Alexandre Barbosa,SP,PSDB,Sim
345311-270,Gervásio Maia,PB,PSB,Não
345311-270,Heitor Schuch,RS,PSB,Sim
345311-270,Pedro Uczai,SC,PT,Não
345311-270,Marcos Tavares,RJ,PDT,Não
345311-270,Ismael,SC,PSD,Sim
345311-270,Pastor Diniz,RR,UNIÃO,Sim
345311-270,Marreca Filho,MA,PATRIOTA,Sim
345311-270,Aluisio Mendes,MA,REPUBLICANOS,Sim
345311-270,Eli Borges,TO,PL,Sim
345311-270,Eriberto Medeiros,PE,PSB,Não
345311-270,Coronel Chrisóstomo,RO,PL,Sim
345311-270,Delegado Paulo Bilynskyj,SP,PL,Sim
345311-270,Fabio Reis,SE,PSD,Sim
345311-270,Josivaldo JP,MA,PSD,Sim
345311-270,Dr. Frederico,MG,PATRIOTA,Sim
345311-270,Neto Carletto,BA,PP,Sim
345311-270,Felipe Becari,SP,UNIÃO,Não
345311-270,Dagoberto Nogueira,MS,PSDB,Não
345311-270,Delegada Adriana Accorsi,GO,PT,Não
345311-270,Eduardo Velloso,AC,UNIÃO,Sim
345311-270,Giovani Cherini,RS,PL,Sim
345311-270,Idilvan Alencar,CE,PDT,Não
345311-270,Franciane Bayer,RS,REPUBLICANOS,Sim
345311-270,Luis Tibé,MG,AVANTE,Não
345311-270,Fabio Schiochet,SC,UNIÃO,Sim
345311-270,Chiquinho Brazão,RJ,UNIÃO,Sim
345311-270,Rodrigo Valadares,SE,UNIÃO,Sim
345311-270,Defensor Stélio Dener,RR,REPUBLICANOS,Não
345311-270,Alex Santana,BA,REPUBLICANOS,Sim
345311-270,Albuquerque,RR,REPUBLICANOS,Sim
345311-270,Dayany Bittencourt,CE,UNIÃO,Sim
345311-270,Emidinho Madeira,MG,PL,Sim
345311-270,Sidney Leite,AM,PSD,Não
345311-270,Glauber Braga,RJ,PSOL,Não
345311-270,Orlando Silva,SP,PCdoB,Não
345311-270,Luiz Carlos Motta,SP,PL,Sim
345311-270,Meire Serafim,AC,UNIÃO,Sim
345311-270,Adilson Barroso,SP,PL,Sim
345311-270,Fred Costa,MG,PATRIOTA,Não
345311-270,Antônio Doido,PA,MDB,Sim
345311-270,Duda Ramos,RR,MDB,Sim
345311-270,Hugo Motta,PB,REPUBLICANOS,Sim
345311-270,Daniel Barbosa,AL,PP,Não
345311-270,Cristiane Lopes,RO,UNIÃO,Sim
345311-270,Dandara,MG,PT,Não
345311-270,Benedita da Silva,RJ,PT,Não
345311-270,Ana Paula Lima,SC,PT,Não
345311-270,Dr. Ismael Alexandrino,GO,PSD,Sim
345311-270,Keniston Braga,PA,MDB,Não
345311-270,Filipe Martins,TO,PL,Sim
345311-270,Paulo Folletto,ES,PSB,Não
345311-270,Fernando Rodolfo,PE,PL,Sim
345311-270,Professora Goreth,AP,PDT,Não
345311-270,Zezinho Barbary,AC,PP,Não
345311-270,Marangoni,SP,UNIÃO,Sim
345311-270,Soraya Santos,RJ,PL,Sim
345311-270,Marcio Alvino,SP,PL,Sim
345311-270,Celso Sabino,PA,UNIÃO,Sim
345311-270,Dani Cunha,RJ,UNIÃO,Sim
345311-270,André Fernandes,CE,PL,Sim
345311-270,Adriana Ventura,SP,NOVO,Sim
345311-270,Mauricio Neves,SP,PP,Sim
345311-270,Simone Marquetto,SP,MDB,Sim
345311-270,José Priante,PA,MDB,Não
345311-270,Bruno Ganem,SP,PODE,Não
